file,帳票,行,列,濃さ,予測,確信度
scanned_document_109_p02_r14_c3.png,scanned_document_109_p02,14,8ヶ月,129.2,空欄,0.67
scanned_document_109_p02_r17_c2.png,scanned_document_109_p02,17,4ヶ月,129.3,空欄,0.65
scanned_document_109_p02_r13_c2.png,scanned_document_109_p02,13,4ヶ月,129.8,○,0.68
scanned_document_109_p02_r16_c2.png,scanned_document_109_p02,16,4ヶ月,130.6,○,0.79
scanned_document_109_p02_r34_c2.png,scanned_document_109_p02,34,4ヶ月,131.0,○,0.37
scanned_document_109_p02_r34_c3.png,scanned_document_109_p02,34,8ヶ月,133.7,—,0.59
scanned_document_109_p02_r01_c1.png,scanned_document_109_p02,1,2ヶ月,163.5,×,0.65
scanned_document_109_p02_r01_c3.png,scanned_document_109_p02,1,8ヶ月,169.8,—,0.34
scanned_document_109_p02_r16_c3.png,scanned_document_109_p02,16,8ヶ月,169.9,×,0.75
scanned_document_109_p02_r01_c4.png,scanned_document_109_p02,1,1年,170.1,—,0.67
scanned_document_109_p02_r01_c2.png,scanned_document_109_p02,1,4ヶ月,170.3,—,0.67
scanned_document_109_p02_r01_c6.png,scanned_document_109_p02,1,1年8ヶ月,170.4,在庫なし,0.66
scanned_document_109_p02_r01_c5.png,scanned_document_109_p02,1,1年4ヶ月,171.4,—,0.67
scanned_document_109_p02_r01_c7.png,scanned_document_109_p02,1,2年,171.8,—,0.67
scanned_document_109_p03_r36_c7.png,scanned_document_109_p03,36,2年,31.1,空欄,0.79
scanned_document_109_p03_r06_c5.png,scanned_document_109_p03,6,1年4ヶ月,36.1,空欄,0.81
scanned_document_109_p03_r39_c1.png,scanned_document_109_p03,39,2ヶ月,124.1,—,0.74
scanned_document_109_p03_r08_c1.png,scanned_document_109_p03,8,2ヶ月,136.3,—,0.66
scanned_document_109_p03_r03_c1.png,scanned_document_109_p03,3,2ヶ月,142.9,×,0.74
scanned_document_109_p03_r36_c2.png,scanned_document_109_p03,36,4ヶ月,143.8,○,0.76
scanned_document_109_p03_r14_c4.png,scanned_document_109_p03,14,1年,146.0,○,0.52
scanned_document_109_p03_r17_c2.png,scanned_document_109_p03,17,4ヶ月,146.0,○,0.67
scanned_document_109_p03_r15_c2.png,scanned_document_109_p03,15,4ヶ月,146.9,○,0.39
scanned_document_109_p03_r08_c2.png,scanned_document_109_p03,8,4ヶ月,147.3,○,0.68
scanned_document_109_p03_r16_c2.png,scanned_document_109_p03,16,4ヶ月,147.7,×,0.43
scanned_document_109_p03_r02_c1.png,scanned_document_109_p03,2,2ヶ月,147.9,×,0.52
scanned_document_109_p03_r44_c2.png,scanned_document_109_p03,44,4ヶ月,150.1,○,0.34
scanned_document_109_p03_r04_c1.png,scanned_document_109_p03,4,2ヶ月,150.2,○,0.36
scanned_document_109_p03_r35_c3.png,scanned_document_109_p03,35,8ヶ月,151.2,○,0.66
scanned_document_109_p03_r28_c1.png,scanned_document_109_p03,28,2ヶ月,154.2,空欄,0.66
scanned_document_109_p03_r45_c1.png,scanned_document_109_p03,45,2ヶ月,154.6,空欄,0.66
scanned_document_109_p03_r29_c1.png,scanned_document_109_p03,29,2ヶ月,156.1,—,0.67
scanned_document_109_p03_r30_c1.png,scanned_document_109_p03,30,2ヶ月,156.5,×,0.37
scanned_document_109_p03_r17_c1.png,scanned_document_109_p03,17,2ヶ月,163.7,空欄,0.66
scanned_document_109_p03_r01_c1.png,scanned_document_109_p03,1,2ヶ月,165.9,×,0.65
scanned_document_109_p03_r01_c2.png,scanned_document_109_p03,1,4ヶ月,165.9,—,0.67
scanned_document_109_p03_r01_c5.png,scanned_document_109_p03,1,1年4ヶ月,168.6,—,0.67
scanned_document_109_p03_r01_c3.png,scanned_document_109_p03,1,8ヶ月,169.1,○,0.66
scanned_document_109_p03_r01_c7.png,scanned_document_109_p03,1,2年,171.1,在庫なし,0.66
scanned_document_109_p03_r01_c6.png,scanned_document_109_p03,1,1年8ヶ月,171.5,—,0.66
scanned_document_109_p03_r20_c2.png,scanned_document_109_p03,20,4ヶ月,178.4,○,0.79
scanned_document_109_p04_r10_c3.png,scanned_document_109_p04,10,8ヶ月,33.4,空欄,0.68
scanned_document_109_p04_r26_c3.png,scanned_document_109_p04,26,8ヶ月,37.2,—,0.65
scanned_document_109_p04_r32_c5.png,scanned_document_109_p04,32,1年4ヶ月,39.5,空欄,0.69
scanned_document_109_p04_r08_c1.png,scanned_document_109_p04,8,2ヶ月,55.3,空欄,0.69
scanned_document_109_p04_r04_c1.png,scanned_document_109_p04,4,2ヶ月,134.9,×,0.68
scanned_document_109_p04_r36_c2.png,scanned_document_109_p04,36,4ヶ月,137.6,○,0.71
scanned_document_109_p04_r36_c1.png,scanned_document_109_p04,36,2ヶ月,138.9,空欄,0.65
scanned_document_109_p04_r38_c1.png,scanned_document_109_p04,38,2ヶ月,139.4,空欄,0.62
scanned_document_109_p04_r20_c1.png,scanned_document_109_p04,20,2ヶ月,140.1,空欄,0.64
scanned_document_109_p04_r26_c1.png,scanned_document_109_p04,26,2ヶ月,140.8,—,0.55
scanned_document_109_p04_r22_c2.png,scanned_document_109_p04,22,4ヶ月,140.9,○,0.43
scanned_document_109_p04_r14_c3.png,scanned_document_109_p04,14,8ヶ月,141.1,○,0.34
scanned_document_109_p04_r16_c2.png,scanned_document_109_p04,16,4ヶ月,143.4,○,0.7
scanned_document_109_p04_r22_c3.png,scanned_document_109_p04,22,8ヶ月,143.7,—,0.6
scanned_document_109_p04_r24_c1.png,scanned_document_109_p04,24,2ヶ月,144.2,×,0.7
scanned_document_109_p04_r36_c3.png,scanned_document_109_p04,36,8ヶ月,144.2,○,0.68
scanned_document_109_p04_r25_c1.png,scanned_document_109_p04,25,2ヶ月,145.9,—,0.67
scanned_document_109_p04_r15_c2.png,scanned_document_109_p04,15,4ヶ月,147.4,—,0.67
scanned_document_109_p04_r16_c1.png,scanned_document_109_p04,16,2ヶ月,148.3,○,0.34
scanned_document_109_p04_r03_c1.png,scanned_document_109_p04,3,2ヶ月,148.4,—,0.67
scanned_document_109_p04_r12_c1.png,scanned_document_109_p04,12,2ヶ月,151.4,—,0.83
scanned_document_109_p04_r02_c4.png,scanned_document_109_p04,2,1年,165.6,×,0.34
scanned_document_109_p04_r02_c1.png,scanned_document_109_p04,2,2ヶ月,170.5,在庫なし,0.68
scanned_document_109_p04_r02_c7.png,scanned_document_109_p04,2,2年,170.8,○,0.67
scanned_document_109_p04_r02_c2.png,scanned_document_109_p04,2,4ヶ月,171.8,—,0.67
scanned_document_109_p04_r02_c6.png,scanned_document_109_p04,2,1年8ヶ月,171.8,在庫なし,0.66
scanned_document_109_p04_r02_c3.png,scanned_document_109_p04,2,8ヶ月,173.0,×,0.34
scanned_document_109_p04_r02_c5.png,scanned_document_109_p04,2,1年4ヶ月,173.8,—,0.67
scanned_document_109_p04_r01_c4.png,scanned_document_109_p04,1,1年,175.4,在庫なし,0.67
scanned_document_109_p05_r38_c1.png,scanned_document_109_p05,38,2ヶ月,124.6,—,0.69
scanned_document_109_p05_r16_c1.png,scanned_document_109_p05,16,2ヶ月,128.4,—,0.67
scanned_document_109_p05_r40_c1.png,scanned_document_109_p05,40,2ヶ月,136.7,—,0.71
scanned_document_109_p05_r34_c2.png,scanned_document_109_p05,34,4ヶ月,137.8,○,0.71
scanned_document_109_p05_r13_c3.png,scanned_document_109_p05,13,8ヶ月,139.0,—,0.65
scanned_document_109_p05_r14_c3.png,scanned_document_109_p05,14,8ヶ月,139.5,○,0.68
scanned_document_109_p05_r04_c1.png,scanned_document_109_p05,4,2ヶ月,139.8,—,0.66
scanned_document_109_p05_r16_c2.png,scanned_document_109_p05,16,4ヶ月,141.4,○,0.34
scanned_document_109_p05_r36_c1.png,scanned_document_109_p05,36,2ヶ月,141.9,空欄,0.64
scanned_document_109_p05_r14_c2.png,scanned_document_109_p05,14,4ヶ月,144.3,○,0.34
scanned_document_109_p05_r28_c1.png,scanned_document_109_p05,28,2ヶ月,145.0,×,0.72
scanned_document_109_p05_r03_c1.png,scanned_document_109_p05,3,2ヶ月,145.9,—,0.67
scanned_document_109_p05_r27_c1.png,scanned_document_109_p05,27,2ヶ月,146.7,—,0.67
scanned_document_109_p05_r02_c2.png,scanned_document_109_p05,2,4ヶ月,170.3,—,0.67
scanned_document_109_p05_r02_c1.png,scanned_document_109_p05,2,2ヶ月,170.5,在庫なし,0.67
scanned_document_109_p05_r02_c6.png,scanned_document_109_p05,2,1年8ヶ月,171.1,在庫なし,0.66
scanned_document_109_p05_r02_c7.png,scanned_document_109_p05,2,2年,171.6,在庫なし,0.67
scanned_document_109_p05_r02_c5.png,scanned_document_109_p05,2,1年4ヶ月,172.3,—,0.66
scanned_document_109_p05_r02_c3.png,scanned_document_109_p05,2,8ヶ月,173.8,—,0.66
scanned_document_109_p05_r01_c4.png,scanned_document_109_p05,1,1年,175.6,—,0.67
scanned_document_109_p05_r29_c1.png,scanned_document_109_p05,29,2ヶ月,183.3,○,0.67
scanned_document_109_p05_r25_c3.png,scanned_document_109_p05,25,8ヶ月,188.0,○,0.72
scanned_document_109_p06_r12_c6.png,scanned_document_109_p06,12,1年8ヶ月,33.5,—,0.66
scanned_document_109_p06_r35_c1.png,scanned_document_109_p06,35,2ヶ月,104.6,—,0.65
scanned_document_109_p06_r18_c1.png,scanned_document_109_p06,18,2ヶ月,119.8,空欄,0.62
scanned_document_109_p06_r04_c1.png,scanned_document_109_p06,4,2ヶ月,124.8,空欄,0.67
scanned_document_109_p06_r20_c1.png,scanned_document_109_p06,20,2ヶ月,125.0,—,0.4
scanned_document_109_p06_r24_c1.png,scanned_document_109_p06,24,2ヶ月,130.9,×,0.68
scanned_document_109_p06_r12_c2.png,scanned_document_109_p06,12,4ヶ月,132.0,○,0.68
scanned_document_109_p06_r22_c2.png,scanned_document_109_p06,22,4ヶ月,132.0,空欄,0.66
scanned_document_109_p06_r08_c1.png,scanned_document_109_p06,8,2ヶ月,132.8,空欄,0.64
scanned_document_109_p06_r21_c1.png,scanned_document_109_p06,21,2ヶ月,133.5,—,0.67
scanned_document_109_p06_r03_c1.png,scanned_document_109_p06,3,2ヶ月,135.0,—,0.66
scanned_document_109_p06_r25_c1.png,scanned_document_109_p06,25,2ヶ月,136.4,—,0.67
scanned_document_109_p06_r34_c2.png,scanned_document_109_p06,34,4ヶ月,136.6,○,0.68
scanned_document_109_p06_r28_c2.png,scanned_document_109_p06,28,4ヶ月,138.2,○,0.71
scanned_document_109_p06_r02_c4.png,scanned_document_109_p06,2,1年,167.3,在庫なし,0.67
scanned_document_109_p06_r02_c1.png,scanned_document_109_p06,2,2ヶ月,170.0,○,0.66
scanned_document_109_p06_r02_c2.png,scanned_document_109_p06,2,4ヶ月,170.7,×,0.34
scanned_document_109_p06_r02_c5.png,scanned_document_109_p06,2,1年4ヶ月,171.1,—,0.67
scanned_document_109_p06_r02_c7.png,scanned_document_109_p06,2,2年,171.1,在庫なし,0.67
scanned_document_109_p06_r02_c3.png,scanned_document_109_p06,2,8ヶ月,171.3,—,0.34
scanned_document_109_p06_r12_c3.png,scanned_document_109_p06,12,8ヶ月,172.4,—,0.34
scanned_document_109_p06_r02_c6.png,scanned_document_109_p06,2,1年8ヶ月,173.0,在庫なし,0.66
scanned_document_109_p06_r01_c4.png,scanned_document_109_p06,1,1年,175.9,—,0.67
scanned_document_109_p06_r16_c2.png,scanned_document_109_p06,16,4ヶ月,176.1,○,0.74
scanned_document_109_p07_r23_c3.png,scanned_document_109_p07,23,8ヶ月,36.0,空欄,0.7
scanned_document_109_p07_r15_c1.png,scanned_document_109_p07,15,2ヶ月,51.5,—,0.47
scanned_document_109_p07_r08_c1.png,scanned_document_109_p07,8,2ヶ月,56.4,空欄,0.58
scanned_document_109_p07_r10_c3.png,scanned_document_109_p07,10,8ヶ月,61.2,—,0.66
scanned_document_109_p07_r19_c2.png,scanned_document_109_p07,19,4ヶ月,66.6,—,0.66
scanned_document_109_p07_r11_c1.png,scanned_document_109_p07,11,2ヶ月,67.0,—,0.68
scanned_document_109_p07_r19_c3.png,scanned_document_109_p07,19,8ヶ月,67.2,—,0.66
scanned_document_109_p07_r13_c1.png,scanned_document_109_p07,13,2ヶ月,68.4,—,0.71
scanned_document_109_p07_r28_c1.png,scanned_document_109_p07,28,2ヶ月,70.6,—,0.47
scanned_document_109_p07_r11_c2.png,scanned_document_109_p07,11,4ヶ月,70.7,空欄,0.67
scanned_document_109_p07_r04_c2.png,scanned_document_109_p07,4,4ヶ月,72.8,在庫なし,0.68
scanned_document_109_p07_r02_c7.png,scanned_document_109_p07,2,2年,156.6,○,0.67
scanned_document_109_p07_r02_c4.png,scanned_document_109_p07,2,1年,161.5,×,0.66
scanned_document_109_p07_r02_c1.png,scanned_document_109_p07,2,2ヶ月,162.7,在庫なし,0.68
scanned_document_109_p07_r02_c6.png,scanned_document_109_p07,2,1年8ヶ月,166.3,在庫なし,0.67
scanned_document_109_p07_r01_c4.png,scanned_document_109_p07,1,1年,169.0,—,0.66
scanned_document_109_p07_r02_c3.png,scanned_document_109_p07,2,8ヶ月,169.6,○,0.67
scanned_document_109_p07_r02_c5.png,scanned_document_109_p07,2,1年4ヶ月,170.3,在庫なし,0.67
scanned_document_109_p07_r02_c2.png,scanned_document_109_p07,2,4ヶ月,173.1,—,0.67
scanned_document_109_p08_r14_c4.png,scanned_document_109_p08,14,1年,33.9,空欄,0.69
scanned_document_109_p08_r18_c3.png,scanned_document_109_p08,18,8ヶ月,57.5,—,0.66
scanned_document_109_p08_r10_c2.png,scanned_document_109_p08,10,4ヶ月,60.8,○,0.39
scanned_document_109_p08_r23_c2.png,scanned_document_109_p08,23,4ヶ月,61.4,空欄,0.68
scanned_document_109_p08_r22_c1.png,scanned_document_109_p08,22,2ヶ月,61.7,—,0.66
scanned_document_109_p08_r28_c2.png,scanned_document_109_p08,28,4ヶ月,61.7,—,0.65
scanned_document_109_p08_r09_c2.png,scanned_document_109_p08,9,4ヶ月,62.5,空欄,0.66
scanned_document_109_p08_r11_c1.png,scanned_document_109_p08,11,2ヶ月,64.3,—,0.67
scanned_document_109_p08_r24_c1.png,scanned_document_109_p08,24,2ヶ月,64.8,—,0.65
scanned_document_109_p08_r03_c2.png,scanned_document_109_p08,3,4ヶ月,68.7,空欄,0.68
scanned_document_109_p08_r02_c3.png,scanned_document_109_p08,2,8ヶ月,165.0,—,0.66
scanned_document_109_p08_r02_c7.png,scanned_document_109_p08,2,2年,165.0,×,0.35
scanned_document_109_p08_r02_c1.png,scanned_document_109_p08,2,2ヶ月,165.5,在庫なし,0.67
scanned_document_109_p08_r01_c4.png,scanned_document_109_p08,1,1年,166.2,在庫なし,0.66
scanned_document_109_p08_r02_c6.png,scanned_document_109_p08,2,1年8ヶ月,167.7,在庫なし,0.66
scanned_document_109_p08_r02_c2.png,scanned_document_109_p08,2,4ヶ月,168.7,在庫なし,0.68
scanned_document_109_p08_r02_c4.png,scanned_document_109_p08,2,1年,170.7,—,0.67
scanned_document_109_p08_r27_c3.png,scanned_document_109_p08,27,8ヶ月,170.7,○,0.69
scanned_document_109_p08_r02_c5.png,scanned_document_109_p08,2,1年4ヶ月,171.4,—,0.67
scanned_document_109_p08_r04_c1.png,scanned_document_109_p08,4,2ヶ月,179.6,×,0.68
