file,帳票,行,列,濃さ,推定,label
mask_test_r08_c4.png,mask_test,8,1年,0.0,空欄,空欄
mask_test_r08_c5.png,mask_test,8,1年4ヶ月,0.0,空欄,空欄
mask_test_r08_c6.png,mask_test,8,1年8ヶ月,0.0,空欄,空欄
mask_test_r08_c7.png,mask_test,8,2年,0.0,空欄,空欄
mask_test_r09_c1.png,mask_test,9,2ヶ月,46.5,—,—
mask_test_r09_c2.png,mask_test,9,4ヶ月,0.0,空欄,空欄
mask_test_r09_c3.png,mask_test,9,8ヶ月,0.0,空欄,空欄
mask_test_r09_c4.png,mask_test,9,1年,0.0,空欄,空欄
mask_test_r09_c5.png,mask_test,9,1年4ヶ月,0.0,空欄,空欄
mask_test_r09_c6.png,mask_test,9,1年8ヶ月,0.0,空欄,空欄
mask_test_r09_c7.png,mask_test,9,2年,0.0,空欄,空欄
mask_test_r10_c1.png,mask_test,10,2ヶ月,44.5,—,—
mask_test_r10_c2.png,mask_test,10,4ヶ月,0.0,空欄,空欄
mask_test_r10_c3.png,mask_test,10,8ヶ月,0.0,空欄,空欄
mask_test_r10_c4.png,mask_test,10,1年,0.0,空欄,空欄
mask_test_r10_c5.png,mask_test,10,1年4ヶ月,0.0,空欄,空欄
mask_test_r10_c6.png,mask_test,10,1年8ヶ月,0.0,空欄,空欄
mask_test_r10_c7.png,mask_test,10,2年,0.0,空欄,空欄
mask_test_r11_c1.png,mask_test,11,2ヶ月,49.5,—,—
mask_test_r11_c2.png,mask_test,11,4ヶ月,0.0,空欄,空欄
mask_test_r11_c3.png,mask_test,11,8ヶ月,0.0,空欄,空欄
mask_test_r11_c4.png,mask_test,11,1年,0.0,空欄,空欄
mask_test_r11_c5.png,mask_test,11,1年4ヶ月,0.0,空欄,空欄
mask_test_r11_c6.png,mask_test,11,1年8ヶ月,0.0,空欄,空欄
mask_test_r11_c7.png,mask_test,11,2年,0.0,空欄,空欄
mask_test_r12_c1.png,mask_test,12,2ヶ月,43.2,—,—
mask_test_r12_c2.png,mask_test,12,4ヶ月,42.2,×,○
mask_test_r12_c3.png,mask_test,12,8ヶ月,44.5,×,○
mask_test_r12_c4.png,mask_test,12,1年,43.3,×,○
mask_test_r12_c5.png,mask_test,12,1年4ヶ月,41.8,×,○
mask_test_r12_c6.png,mask_test,12,1年8ヶ月,194.3,◎,◎
mask_test_r12_c7.png,mask_test,12,2年,0.0,空欄,空欄
mask_test_r13_c1.png,mask_test,13,2ヶ月,51.4,—,—
mask_test_r13_c2.png,mask_test,13,4ヶ月,42.3,×,○
mask_test_r13_c3.png,mask_test,13,8ヶ月,43.9,○,○
mask_test_r13_c4.png,mask_test,13,1年,45.1,○,○
mask_test_r13_c5.png,mask_test,13,1年4ヶ月,43.3,×,○
mask_test_r13_c6.png,mask_test,13,1年8ヶ月,0.0,空欄,空欄
mask_test_r13_c7.png,mask_test,13,2年,0.0,空欄,空欄
mask_test_r14_c1.png,mask_test,14,2ヶ月,40.5,—,—
mask_test_r14_c2.png,mask_test,14,4ヶ月,43.9,×,○
mask_test_r14_c3.png,mask_test,14,8ヶ月,45.3,×,○
mask_test_r14_c4.png,mask_test,14,1年,46.0,○,○
mask_test_r14_c5.png,mask_test,14,1年4ヶ月,0.0,空欄,空欄
mask_test_r14_c6.png,mask_test,14,1年8ヶ月,0.0,空欄,空欄
mask_test_r14_c7.png,mask_test,14,2年,0.0,空欄,空欄
mask_test_r15_c1.png,mask_test,15,2ヶ月,47.7,—,—
mask_test_r15_c2.png,mask_test,15,4ヶ月,43.2,×,○
mask_test_r15_c3.png,mask_test,15,8ヶ月,195.9,◎,◎
mask_test_r15_c4.png,mask_test,15,1年,0.0,空欄,空欄
mask_test_r15_c5.png,mask_test,15,1年4ヶ月,0.0,空欄,空欄
mask_test_r15_c6.png,mask_test,15,1年8ヶ月,0.0,空欄,空欄
mask_test_r15_c7.png,mask_test,15,2年,0.0,空欄,空欄
mask_test_r16_c1.png,mask_test,16,2ヶ月,55.9,—,—
mask_test_r16_c2.png,mask_test,16,4ヶ月,41.7,×,○
mask_test_r16_c3.png,mask_test,16,8ヶ月,0.0,空欄,空欄
mask_test_r16_c4.png,mask_test,16,1年,0.0,空欄,空欄
mask_test_r16_c5.png,mask_test,16,1年4ヶ月,0.0,空欄,空欄
mask_test_r16_c6.png,mask_test,16,1年8ヶ月,0.0,空欄,空欄
mask_test_r16_c7.png,mask_test,16,2年,0.0,空欄,空欄
mask_test_r17_c1.png,mask_test,17,2ヶ月,44.2,—,—
mask_test_r17_c2.png,mask_test,17,4ヶ月,42.2,×,○
mask_test_r17_c3.png,mask_test,17,8ヶ月,44.4,×,×
mask_test_r17_c4.png,mask_test,17,1年,47.0,在庫なし,在庫なし
mask_test_r17_c5.png,mask_test,17,1年4ヶ月,0.0,空欄,空欄
mask_test_r17_c6.png,mask_test,17,1年8ヶ月,0.0,空欄,空欄
mask_test_r17_c7.png,mask_test,17,2年,0.0,空欄,空欄
mask_test_r18_c1.png,mask_test,18,2ヶ月,47.1,—,—
mask_test_r18_c2.png,mask_test,18,4ヶ月,41.4,×,○
mask_test_r18_c3.png,mask_test,18,8ヶ月,40.0,○,×
mask_test_r18_c4.png,mask_test,18,1年,46.6,在庫なし,在庫なし
mask_test_r18_c5.png,mask_test,18,1年4ヶ月,0.0,空欄,空欄
mask_test_r18_c6.png,mask_test,18,1年8ヶ月,0.0,空欄,空欄
mask_test_r18_c7.png,mask_test,18,2年,0.0,空欄,空欄
mask_test_r19_c1.png,mask_test,19,2ヶ月,54.9,—,—
mask_test_r19_c2.png,mask_test,19,4ヶ月,42.0,×,×
mask_test_r19_c3.png,mask_test,19,8ヶ月,0.0,空欄,空欄
mask_test_r19_c4.png,mask_test,19,1年,0.0,空欄,空欄
mask_test_r19_c5.png,mask_test,19,1年4ヶ月,0.0,空欄,空欄
mask_test_r19_c6.png,mask_test,19,1年8ヶ月,0.0,空欄,空欄
mask_test_r19_c7.png,mask_test,19,2年,0.0,空欄,空欄
mask_test_r20_c1.png,mask_test,20,2ヶ月,44.6,—,—
mask_test_r20_c2.png,mask_test,20,4ヶ月,0.0,空欄,空欄
mask_test_r20_c3.png,mask_test,20,8ヶ月,0.0,空欄,空欄
mask_test_r20_c4.png,mask_test,20,1年,0.0,空欄,空欄
mask_test_r20_c5.png,mask_test,20,1年4ヶ月,0.0,空欄,空欄
mask_test_r20_c6.png,mask_test,20,1年8ヶ月,0.0,空欄,空欄
mask_test_r20_c7.png,mask_test,20,2年,0.0,空欄,空欄
mask_test_r21_c1.png,mask_test,21,2ヶ月,49.8,—,—
mask_test_r21_c2.png,mask_test,21,4ヶ月,0.0,空欄,空欄
mask_test_r21_c3.png,mask_test,21,8ヶ月,0.0,空欄,空欄
mask_test_r21_c4.png,mask_test,21,1年,0.0,空欄,空欄
mask_test_r21_c5.png,mask_test,21,1年4ヶ月,0.0,空欄,空欄
mask_test_r21_c6.png,mask_test,21,1年8ヶ月,0.0,空欄,空欄
mask_test_r21_c7.png,mask_test,21,2年,0.0,空欄,空欄
mask_test_r22_c1.png,mask_test,22,2ヶ月,49.4,—,—
mask_test_r22_c2.png,mask_test,22,4ヶ月,44.0,○,○
mask_test_r22_c3.png,mask_test,22,8ヶ月,48.5,○,○
mask_test_r22_c4.png,mask_test,22,1年,0.0,空欄,空欄
mask_test_r22_c5.png,mask_test,22,1年4ヶ月,0.0,空欄,空欄
mask_test_r22_c6.png,mask_test,22,1年8ヶ月,31.0,空欄,空欄
mask_test_r22_c7.png,mask_test,22,2年,0.0,空欄,空欄
mask_test_r23_c1.png,mask_test,23,2ヶ月,40.1,—,—
mask_test_r23_c2.png,mask_test,23,4ヶ月,0.0,空欄,空欄
mask_test_r23_c3.png,mask_test,23,8ヶ月,0.0,空欄,空欄
mask_test_r23_c4.png,mask_test,23,1年,0.0,空欄,空欄
mask_test_r23_c5.png,mask_test,23,1年4ヶ月,0.0,空欄,空欄
mask_test_r23_c6.png,mask_test,23,1年8ヶ月,0.0,空欄,空欄
mask_test_r23_c7.png,mask_test,23,2年,0.0,空欄,空欄
mask_test_r24_c1.png,mask_test,24,2ヶ月,0.0,空欄,
mask_test_r24_c2.png,mask_test,24,4ヶ月,0.0,空欄,
mask_test_r24_c3.png,mask_test,24,8ヶ月,0.0,空欄,
mask_test_r24_c4.png,mask_test,24,1年,192.5,×,
mask_test_r24_c5.png,mask_test,24,1年4ヶ月,185.5,在庫なし,
mask_test_r24_c6.png,mask_test,24,1年8ヶ月,138.1,在庫なし,
mask_test_r24_c7.png,mask_test,24,2年,182.9,在庫なし,
mask_test_r25_c1.png,mask_test,25,2ヶ月,178.7,◎,
mask_test_r25_c2.png,mask_test,25,4ヶ月,185.2,◎,
mask_test_r25_c3.png,mask_test,25,8ヶ月,181.3,◎,
mask_test_r25_c4.png,mask_test,25,1年,179.6,◎,
mask_test_r25_c5.png,mask_test,25,1年4ヶ月,179.1,◎,
mask_test_r25_c6.png,mask_test,25,1年8ヶ月,0.0,空欄,
mask_test_r25_c7.png,mask_test,25,2年,0.0,空欄,
mask_test_r26_c1.png,mask_test,26,2ヶ月,86.8,○,
mask_test_r26_c2.png,mask_test,26,4ヶ月,102.1,×,
mask_test_r26_c3.png,mask_test,26,8ヶ月,105.5,◎,
mask_test_r26_c4.png,mask_test,26,1年,81.6,×,
mask_test_r26_c5.png,mask_test,26,1年4ヶ月,102.0,○,
mask_test_r26_c6.png,mask_test,26,1年8ヶ月,0.0,空欄,
mask_test_r26_c7.png,mask_test,26,2年,0.0,空欄,
mask_test_r27_c1.png,mask_test,27,2ヶ月,87.7,○,
mask_test_r27_c2.png,mask_test,27,4ヶ月,99.0,×,
mask_test_r27_c3.png,mask_test,27,8ヶ月,100.6,○,
mask_test_r27_c4.png,mask_test,27,1年,80.0,○,
mask_test_r27_c5.png,mask_test,27,1年4ヶ月,101.0,○,
mask_test_r27_c6.png,mask_test,27,1年8ヶ月,0.0,空欄,
mask_test_r27_c7.png,mask_test,27,2年,0.0,空欄,
Scanned_Document_19_r01_c1.png,Scanned_Document_19,1,2ヶ月,0.0,空欄,
Scanned_Document_19_r01_c2.png,Scanned_Document_19,1,4ヶ月,0.0,空欄,
Scanned_Document_19_r01_c3.png,Scanned_Document_19,1,8ヶ月,0.0,空欄,
Scanned_Document_19_r01_c4.png,Scanned_Document_19,1,1年,157.0,◎,
Scanned_Document_19_r01_c5.png,Scanned_Document_19,1,1年4ヶ月,34.6,空欄,
Scanned_Document_19_r01_c6.png,Scanned_Document_19,1,1年8ヶ月,0.0,空欄,
Scanned_Document_19_r01_c7.png,Scanned_Document_19,1,2年,0.0,空欄,
Scanned_Document_19_r02_c1.png,Scanned_Document_19,2,2ヶ月,139.8,◎,
Scanned_Document_19_r02_c2.png,Scanned_Document_19,2,4ヶ月,153.5,◎,
Scanned_Document_19_r02_c3.png,Scanned_Document_19,2,8ヶ月,151.7,◎,
Scanned_Document_19_r02_c4.png,Scanned_Document_19,2,1年,150.1,◎,
Scanned_Document_19_r02_c5.png,Scanned_Document_19,2,1年4ヶ月,144.8,◎,
Scanned_Document_19_r02_c6.png,Scanned_Document_19,2,1年8ヶ月,138.8,◎,
Scanned_Document_19_r02_c7.png,Scanned_Document_19,2,2年,133.2,◎,
Scanned_Document_19_r03_c1.png,Scanned_Document_19,3,2ヶ月,36.8,○,×
Scanned_Document_19_r03_c2.png,Scanned_Document_19,3,4ヶ月,41.0,○,在庫なし
Scanned_Document_19_r03_c3.png,Scanned_Document_19,3,8ヶ月,0.0,空欄,空欄
Scanned_Document_19_r03_c4.png,Scanned_Document_19,3,1年,0.0,空欄,空欄
Scanned_Document_19_r03_c5.png,Scanned_Document_19,3,1年4ヶ月,0.0,空欄,空欄
Scanned_Document_19_r03_c6.png,Scanned_Document_19,3,1年8ヶ月,0.0,空欄,空欄
Scanned_Document_19_r03_c7.png,Scanned_Document_19,3,2年,32.6,空欄,空欄
Scanned_Document_19_r04_c1.png,Scanned_Document_19,4,2ヶ月,38.1,×,×
Scanned_Document_19_r04_c2.png,Scanned_Document_19,4,4ヶ月,43.1,×,在庫なし
Scanned_Document_19_r04_c3.png,Scanned_Document_19,4,8ヶ月,0.0,空欄,空欄
Scanned_Document_19_r04_c4.png,Scanned_Document_19,4,1年,0.0,空欄,空欄
Scanned_Document_19_r04_c5.png,Scanned_Document_19,4,1年4ヶ月,0.0,空欄,空欄
Scanned_Document_19_r04_c6.png,Scanned_Document_19,4,1年8ヶ月,0.0,空欄,空欄
Scanned_Document_19_r04_c7.png,Scanned_Document_19,4,2年,29.0,空欄,空欄
Scanned_Document_19_r05_c1.png,Scanned_Document_19,5,2ヶ月,41.0,×,×
Scanned_Document_19_r05_c2.png,Scanned_Document_19,5,4ヶ月,44.4,×,在庫なし
Scanned_Document_19_r05_c3.png,Scanned_Document_19,5,8ヶ月,0.0,空欄,空欄
Scanned_Document_19_r05_c4.png,Scanned_Document_19,5,1年,0.0,空欄,空欄
Scanned_Document_19_r05_c5.png,Scanned_Document_19,5,1年4ヶ月,0.0,空欄,空欄
Scanned_Document_19_r05_c6.png,Scanned_Document_19,5,1年8ヶ月,0.0,空欄,空欄
Scanned_Document_19_r05_c7.png,Scanned_Document_19,5,2年,0.0,空欄,空欄
Scanned_Document_19_r06_c1.png,Scanned_Document_19,6,2ヶ月,37.8,×,×
Scanned_Document_19_r06_c2.png,Scanned_Document_19,6,4ヶ月,0.0,空欄,空欄
Scanned_Document_19_r06_c3.png,Scanned_Document_19,6,8ヶ月,0.0,空欄,空欄
Scanned_Document_19_r06_c4.png,Scanned_Document_19,6,1年,0.0,空欄,空欄
Scanned_Document_19_r06_c5.png,Scanned_Document_19,6,1年4ヶ月,0.0,空欄,空欄
Scanned_Document_19_r06_c6.png,Scanned_Document_19,6,1年8ヶ月,0.0,空欄,空欄
Scanned_Document_19_r06_c7.png,Scanned_Document_19,6,2年,0.0,空欄,空欄
Scanned_Document_19_r07_c1.png,Scanned_Document_19,7,2ヶ月,46.9,×,○
Scanned_Document_19_r07_c2.png,Scanned_Document_19,7,4ヶ月,0.0,空欄,空欄
Scanned_Document_19_r07_c3.png,Scanned_Document_19,7,8ヶ月,0.0,空欄,空欄
Scanned_Document_19_r07_c4.png,Scanned_Document_19,7,1年,0.0,空欄,空欄
Scanned_Document_19_r07_c5.png,Scanned_Document_19,7,1年4ヶ月,0.0,空欄,空欄
Scanned_Document_19_r07_c6.png,Scanned_Document_19,7,1年8ヶ月,0.0,空欄,空欄
Scanned_Document_19_r07_c7.png,Scanned_Document_19,7,2年,0.0,空欄,空欄
Scanned_Document_19_r08_c1.png,Scanned_Document_19,8,2ヶ月,0.0,空欄,空欄
Scanned_Document_19_r08_c2.png,Scanned_Document_19,8,4ヶ月,0.0,空欄,空欄
Scanned_Document_19_r08_c3.png,Scanned_Document_19,8,8ヶ月,0.0,空欄,空欄
Scanned_Document_19_r08_c4.png,Scanned_Document_19,8,1年,0.0,空欄,空欄
Scanned_Document_19_r08_c5.png,Scanned_Document_19,8,1年4ヶ月,0.0,空欄,空欄
Scanned_Document_19_r08_c6.png,Scanned_Document_19,8,1年8ヶ月,0.0,空欄,空欄
Scanned_Document_19_r08_c7.png,Scanned_Document_19,8,2年,0.0,空欄,空欄
Scanned_Document_19_r09_c1.png,Scanned_Document_19,9,2ヶ月,50.1,—,—
Scanned_Document_19_r09_c2.png,Scanned_Document_19,9,4ヶ月,0.0,空欄,空欄
Scanned_Document_19_r09_c3.png,Scanned_Document_19,9,8ヶ月,0.0,空欄,空欄
Scanned_Document_19_r09_c4.png,Scanned_Document_19,9,1年,0.0,空欄,空欄
Scanned_Document_19_r09_c5.png,Scanned_Document_19,9,1年4ヶ月,0.0,空欄,空欄
Scanned_Document_19_r09_c6.png,Scanned_Document_19,9,1年8ヶ月,0.0,空欄,空欄
Scanned_Document_19_r09_c7.png,Scanned_Document_19,9,2年,0.0,空欄,空欄
Scanned_Document_19_r10_c1.png,Scanned_Document_19,10,2ヶ月,52.0,×,—
Scanned_Document_19_r10_c2.png,Scanned_Document_19,10,4ヶ月,0.0,空欄,空欄
Scanned_Document_19_r10_c3.png,Scanned_Document_19,10,8ヶ月,0.0,空欄,空欄
Scanned_Document_19_r10_c4.png,Scanned_Document_19,10,1年,0.0,空欄,空欄
Scanned_Document_19_r10_c5.png,Scanned_Document_19,10,1年4ヶ月,0.0,空欄,空欄
Scanned_Document_19_r10_c6.png,Scanned_Document_19,10,1年8ヶ月,0.0,空欄,空欄
Scanned_Document_19_r10_c7.png,Scanned_Document_19,10,2年,0.0,空欄,空欄
Scanned_Document_19_r11_c1.png,Scanned_Document_19,11,2ヶ月,52.9,—,—
Scanned_Document_19_r11_c2.png,Scanned_Document_19,11,4ヶ月,0.0,空欄,空欄
Scanned_Document_19_r11_c3.png,Scanned_Document_19,11,8ヶ月,0.0,空欄,空欄
Scanned_Document_19_r11_c4.png,Scanned_Document_19,11,1年,0.0,空欄,空欄
Scanned_Document_19_r11_c5.png,Scanned_Document_19,11,1年4ヶ月,0.0,空欄,空欄
Scanned_Document_19_r11_c6.png,Scanned_Document_19,11,1年8ヶ月,0.0,空欄,空欄
Scanned_Document_19_r11_c7.png,Scanned_Document_19,11,2年,0.0,空欄,空欄
Scanned_Document_19_r12_c1.png,Scanned_Document_19,12,2ヶ月,48.3,—,—
Scanned_Document_19_r12_c2.png,Scanned_Document_19,12,4ヶ月,42.7,×,○
Scanned_Document_19_r12_c3.png,Scanned_Document_19,12,8ヶ月,42.4,×,○
Scanned_Document_19_r12_c4.png,Scanned_Document_19,12,1年,45.0,×,○
Scanned_Document_19_r12_c5.png,Scanned_Document_19,12,1年4ヶ月,45.6,×,○
Scanned_Document_19_r12_c6.png,Scanned_Document_19,12,1年8ヶ月,146.3,◎,◎
Scanned_Document_19_r12_c7.png,Scanned_Document_19,12,2年,0.0,空欄,空欄
Scanned_Document_19_r13_c1.png,Scanned_Document_19,13,2ヶ月,64.1,—,—
Scanned_Document_19_r13_c2.png,Scanned_Document_19,13,4ヶ月,45.0,×,○
Scanned_Document_19_r13_c3.png,Scanned_Document_19,13,8ヶ月,44.2,×,○
Scanned_Document_19_r13_c4.png,Scanned_Document_19,13,1年,48.5,×,○
Scanned_Document_19_r13_c5.png,Scanned_Document_19,13,1年4ヶ月,42.0,×,○
Scanned_Document_19_r13_c6.png,Scanned_Document_19,13,1年8ヶ月,0.0,空欄,空欄
Scanned_Document_19_r13_c7.png,Scanned_Document_19,13,2年,0.0,空欄,空欄
Scanned_Document_19_r14_c1.png,Scanned_Document_19,14,2ヶ月,44.3,空欄,—
Scanned_Document_19_r14_c2.png,Scanned_Document_19,14,4ヶ月,50.0,×,○
Scanned_Document_19_r14_c3.png,Scanned_Document_19,14,8ヶ月,48.8,×,○
Scanned_Document_19_r14_c4.png,Scanned_Document_19,14,1年,50.1,×,○
Scanned_Document_19_r14_c5.png,Scanned_Document_19,14,1年4ヶ月,0.0,空欄,空欄
Scanned_Document_19_r14_c6.png,Scanned_Document_19,14,1年8ヶ月,0.0,空欄,空欄
Scanned_Document_19_r14_c7.png,Scanned_Document_19,14,2年,0.0,空欄,空欄
Scanned_Document_19_r15_c1.png,Scanned_Document_19,15,2ヶ月,52.4,—,—
Scanned_Document_19_r15_c2.png,Scanned_Document_19,15,4ヶ月,48.6,×,○
Scanned_Document_19_r15_c3.png,Scanned_Document_19,15,8ヶ月,181.8,◎,◎
Scanned_Document_19_r15_c4.png,Scanned_Document_19,15,1年,0.0,空欄,空欄
Scanned_Document_19_r15_c5.png,Scanned_Document_19,15,1年4ヶ月,0.0,空欄,空欄
Scanned_Document_19_r15_c6.png,Scanned_Document_19,15,1年8ヶ月,28.0,空欄,空欄
Scanned_Document_19_r15_c7.png,Scanned_Document_19,15,2年,0.0,空欄,空欄
Scanned_Document_19_r16_c1.png,Scanned_Document_19,16,2ヶ月,65.8,—,—
Scanned_Document_19_r16_c2.png,Scanned_Document_19,16,4ヶ月,48.6,×,○
Scanned_Document_19_r16_c3.png,Scanned_Document_19,16,8ヶ月,0.0,空欄,空欄
Scanned_Document_19_r16_c4.png,Scanned_Document_19,16,1年,0.0,空欄,空欄
Scanned_Document_19_r16_c5.png,Scanned_Document_19,16,1年4ヶ月,42.0,空欄,空欄
Scanned_Document_19_r16_c6.png,Scanned_Document_19,16,1年8ヶ月,0.0,空欄,空欄
Scanned_Document_19_r16_c7.png,Scanned_Document_19,16,2年,28.0,空欄,空欄
Scanned_Document_19_r17_c1.png,Scanned_Document_19,17,2ヶ月,51.4,在庫なし,—
Scanned_Document_19_r17_c2.png,Scanned_Document_19,17,4ヶ月,46.1,×,○
Scanned_Document_19_r17_c3.png,Scanned_Document_19,17,8ヶ月,45.7,×,×
Scanned_Document_19_r17_c4.png,Scanned_Document_19,17,1年,51.1,○,在庫なし
Scanned_Document_19_r17_c5.png,Scanned_Document_19,17,1年4ヶ月,29.0,空欄,空欄
Scanned_Document_19_r17_c6.png,Scanned_Document_19,17,1年8ヶ月,28.0,空欄,空欄
Scanned_Document_19_r17_c7.png,Scanned_Document_19,17,2年,0.0,空欄,空欄
Scanned_Document_19_r18_c1.png,Scanned_Document_19,18,2ヶ月,55.3,—,—
Scanned_Document_19_r18_c2.png,Scanned_Document_19,18,4ヶ月,46.4,×,○
Scanned_Document_19_r18_c3.png,Scanned_Document_19,18,8ヶ月,43.7,×,×
Scanned_Document_19_r18_c4.png,Scanned_Document_19,18,1年,52.1,○,在庫なし
Scanned_Document_19_r18_c5.png,Scanned_Document_19,18,1年4ヶ月,0.0,空欄,空欄
Scanned_Document_19_r18_c6.png,Scanned_Document_19,18,1年8ヶ月,0.0,空欄,空欄
Scanned_Document_19_r18_c7.png,Scanned_Document_19,18,2年,28.0,空欄,空欄
Scanned_Document_19_r19_c1.png,Scanned_Document_19,19,2ヶ月,55.6,—,—
Scanned_Document_19_r19_c2.png,Scanned_Document_19,19,4ヶ月,45.1,×,×
Scanned_Document_19_r19_c3.png,Scanned_Document_19,19,8ヶ月,29.0,空欄,空欄
Scanned_Document_19_r19_c4.png,Scanned_Document_19,19,1年,0.0,空欄,空欄
Scanned_Document_19_r19_c5.png,Scanned_Document_19,19,1年4ヶ月,0.0,空欄,空欄
Scanned_Document_19_r19_c6.png,Scanned_Document_19,19,1年8ヶ月,31.6,空欄,空欄
Scanned_Document_19_r19_c7.png,Scanned_Document_19,19,2年,0.0,空欄,空欄
Scanned_Document_19_r20_c1.png,Scanned_Document_19,20,2ヶ月,54.5,—,—
Scanned_Document_19_r20_c2.png,Scanned_Document_19,20,4ヶ月,0.0,空欄,空欄
Scanned_Document_19_r20_c3.png,Scanned_Document_19,20,8ヶ月,0.0,空欄,空欄
Scanned_Document_19_r20_c4.png,Scanned_Document_19,20,1年,0.0,空欄,空欄
Scanned_Document_19_r20_c5.png,Scanned_Document_19,20,1年4ヶ月,0.0,空欄,空欄
Scanned_Document_19_r20_c6.png,Scanned_Document_19,20,1年8ヶ月,0.0,空欄,空欄
Scanned_Document_19_r20_c7.png,Scanned_Document_19,20,2年,0.0,空欄,空欄
Scanned_Document_19_r21_c1.png,Scanned_Document_19,21,2ヶ月,54.8,—,—
Scanned_Document_19_r21_c2.png,Scanned_Document_19,21,4ヶ月,0.0,空欄,空欄
Scanned_Document_19_r21_c3.png,Scanned_Document_19,21,8ヶ月,0.0,空欄,空欄
Scanned_Document_19_r21_c4.png,Scanned_Document_19,21,1年,0.0,空欄,空欄
Scanned_Document_19_r21_c5.png,Scanned_Document_19,21,1年4ヶ月,0.0,空欄,空欄
Scanned_Document_19_r21_c6.png,Scanned_Document_19,21,1年8ヶ月,0.0,空欄,空欄
Scanned_Document_19_r21_c7.png,Scanned_Document_19,21,2年,0.0,空欄,空欄
Scanned_Document_19_r22_c1.png,Scanned_Document_19,22,2ヶ月,40.2,—,—
